Id,Prompt,Completion
280,ᱵᱨᱟᱣᱩᱱ ᱥᱟᱨᱵᱷᱟᱨ ᱦᱟᱛᱟᱣ ᱠᱷᱟᱹᱛᱤᱨ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱥᱤᱜᱤᱞ ᱮ ᱧᱟᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,"ᱥᱟᱧᱪᱟᱣᱼᱟᱱ ᱟᱨ ᱞᱟᱛᱟᱨ ᱨᱮ ᱢᱮᱱᱟᱜ ᱵᱤᱨᱤᱭᱟᱹ ᱠᱚ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱠᱚ ᱵᱷᱟᱞᱮ ᱧᱟᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱪᱮᱫᱟᱜ ᱥᱮ ᱱᱚᱶᱟ ᱫᱚ ᱠᱷᱚᱨᱪᱟᱼᱟᱱ, ᱦᱟᱛᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱟᱞᱜᱟ ᱟᱨ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
281,ᱪᱟᱥ ᱨᱮ ᱵᱨᱟᱣᱩᱱ ᱥᱟᱨᱵᱷᱟᱨ ᱨᱮᱭᱟᱜ ᱥᱟᱱᱟᱢᱟᱜ ᱜᱚᱱᱚᱝ ᱪᱮᱫ?,"ᱵᱨᱟᱣᱩᱱ ᱯᱷᱟᱨᱩᱭᱝ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱶᱟᱱ, ᱮᱥᱮᱨᱼᱥᱩᱢᱟᱹᱱᱟᱱ ᱵᱤᱨ ᱵᱚᱱᱫᱮᱡ ᱵᱚᱱᱫᱮᱡ ᱦᱚᱨᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱱᱟᱯᱟᱭ ᱵᱟᱹᱲᱛᱤᱼᱟ, ᱩᱯᱚᱥᱚᱫᱚᱞ ᱠᱚ ᱥᱟᱧᱪᱟᱣᱼᱟ, ᱯᱷᱚᱞᱮ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱟᱨ ᱪᱟᱥᱤᱭᱟᱹ ᱠᱚ ᱠᱟᱹᱣᱰᱤ ᱟᱹᱨᱤ ᱞᱮᱠᱟᱛᱮ ᱥᱤᱜᱤᱞᱮ ᱧᱟᱢᱼᱟ ᱾"
282,ᱱᱟᱦᱟᱜ ᱚᱠᱛᱚ ᱨᱮ ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱪᱟᱥ ᱫᱚ ᱰᱷᱮᱨᱚᱜ ᱠᱟᱱ ᱟᱱᱟᱴ ᱠᱚ ᱥᱟᱢᱟᱝ ᱫᱟᱯᱨᱟᱢ ᱟᱠᱟᱱᱟ?,"ᱦᱚᱭᱦᱚᱫᱚᱢ ᱵᱚᱱᱚᱫᱚᱞ, ᱜᱷᱟᱹᱞ, ᱨᱳᱜᱽ ᱟᱨ ᱥᱤᱢᱤᱛ ᱩᱯᱟᱹᱭ ᱞᱮᱠᱟᱱ ᱚᱡᱮ ᱠᱚ ᱫᱟᱨᱟᱭ ᱛᱮ ᱪᱟᱥ ᱵᱚᱱᱚᱫᱚᱞᱚᱜ ᱠᱟᱱᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮ ᱟᱨ ᱫᱚᱦᱚ ᱫᱟᱲᱮ ᱠᱚᱢᱼᱟ ᱾"
283,ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱰᱨᱚᱱ ᱠᱚ ᱪᱮᱫ?,"ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱰᱨᱚᱱᱠᱚ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱦᱚᱲ ᱟᱱᱢᱟᱱᱰ ᱮᱨᱤᱭᱟᱞ ᱵᱷᱤᱠᱮᱞ (ᱤᱭᱩ ᱮ ᱵᱷᱤ) ᱧᱩᱛᱩᱢ ᱛᱮ ᱦᱚᱸ ᱩᱯᱨᱩᱢᱟ, ᱚᱱᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱟᱹᱰᱤ ᱥᱚᱨᱮᱥ ᱩᱯᱟᱹᱭ ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱤᱜᱤᱞ ᱞᱮᱠᱟᱛᱮ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ, ᱮᱥᱯᱨᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱪᱟᱥ ᱥᱟᱢᱲᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱣᱦᱟᱨᱚᱜᱼᱟ ᱾"
284,ᱯᱷᱚᱞᱮ ᱥᱟᱢᱲᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱰᱨᱚᱱ ᱵᱮᱣᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱱᱟᱯᱟᱭ ᱠᱚ ᱪᱮᱫ?,"ᱰᱨᱚᱱᱠᱚ ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮ, ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱚᱢ, ᱵᱮᱶᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱵᱮᱶᱦᱟᱨ, ᱠᱤᱢᱤᱥᱟᱭᱰ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱚᱢ ᱟᱨ ᱟᱹᱰᱤ ᱵᱟᱹᱲᱛᱤ ᱴᱚᱴᱷᱟ ᱨᱮ ᱟᱹᱰᱤ ᱜᱟᱹᱨᱫᱷᱟᱹᱛᱮ ᱯᱟᱥᱱᱟᱣ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮᱭ ᱮᱢᱼᱟ ᱾"
285,ᱰᱨᱚᱱ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱮᱢᱤᱥᱴᱟᱭᱰᱤᱥ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱮ ᱱᱟᱯᱟᱭᱼᱟ?,"ᱰᱨᱚᱱᱠᱚ ᱱᱟᱯᱟᱭ ᱟᱨ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱮᱥᱯᱨᱮᱭ ᱮᱢᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱢᱮᱱᱩᱞ ᱦᱚᱨᱟ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱵᱟᱝ ᱵᱮᱣᱦᱟᱨ ᱟᱨ ᱨᱚᱥᱤᱭᱟᱱᱟᱜ ᱵᱮᱶᱦᱟᱨ ᱠᱚᱢᱼᱟ ᱾"
286,ᱰᱨᱚᱱ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱚᱱᱟ ᱴᱚᱴᱷᱟ ᱨᱮ ᱜᱚᱲᱚ ᱠᱚ ᱮᱢᱼᱟ ᱡᱟᱦᱟᱸ ᱴᱚᱴᱷᱟ ᱨᱮ ᱥᱮᱴᱮᱨ ᱫᱚ ᱟᱹᱰᱤ ᱟᱱᱟᱴ ᱠᱟᱱᱟ ᱾,"ᱰᱨᱚᱱ ᱠᱚᱫᱚ ᱵᱮᱼᱵᱟᱹᱛᱤᱞ ᱞᱮᱠᱟᱛᱮ ᱥᱮ ᱢᱮᱥᱤᱱᱼᱵᱮᱹᱰ ᱦᱚᱨᱟ ᱞᱮᱠᱟᱛᱮ, ᱯᱷᱚᱞᱮ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱵᱟᱝ ᱠᱟᱛᱮ ᱟᱹᱰᱤ ᱟᱞᱜᱟᱛᱮ ᱞᱚᱫᱟᱢ ᱚᱛᱢᱚᱱ, ᱥᱮᱪ ᱟᱨ ᱚᱛᱢᱚᱱ ᱨᱮ ᱥᱮᱴᱮᱨ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
287,ᱰᱨᱚᱱ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱟᱱᱟᱴ ᱠᱚ ᱢᱟᱲᱟᱝ ᱠᱷᱚᱱ ᱜᱮ ᱵᱟᱰᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱜᱚᱲᱚ ᱠᱚ ᱮᱢᱼᱟ?,"ᱤᱱᱯᱷᱨᱟᱨᱮᱰ ᱠᱮᱢᱮᱨᱟ ᱟᱨ ᱥᱮᱱᱥᱳᱨ ᱥᱟᱶ ᱰᱨᱚᱱ ᱠᱚᱫᱚ ᱱᱟᱦᱟᱜ ᱚᱠᱛᱚ ᱨᱮ ᱯᱷᱚᱞᱮ ᱨᱮᱭᱟᱜ ᱱᱟᱯᱟᱭ ᱵᱤᱪᱷᱱᱟᱶ ᱛᱟᱞᱟᱛᱮ ᱮᱛᱚᱦᱚᱵ ᱥᱮᱫ ᱜᱮᱢᱮᱧ, ᱨᱳᱜᱽ ᱟᱨ ᱱᱩᱴᱤᱨᱮᱱᱴ ᱨᱮᱭᱟᱜ ᱠᱚᱢ ᱠᱚ ᱧᱮᱞ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
288,ᱰᱨᱚᱱ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱦᱚᱭᱦᱩᱫᱤᱥ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨ ᱠᱚᱢᱼᱟ?,"ᱴᱟᱨᱜᱮᱴ ᱥᱯᱨᱟᱭ ᱠᱚᱨᱟᱣ ᱫᱟᱲᱮ ᱠᱟᱛᱮ, ᱰᱨᱚᱱ ᱠᱚᱫᱚ ᱠᱤᱢᱤᱥᱟᱭᱰᱤᱥ ᱟᱨ ᱵᱮᱣᱦᱟᱨ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱠᱚᱢᱼᱟ, ᱦᱚᱭᱦᱩᱫᱥᱩᱢᱟᱹᱧ ᱯᱚᱨᱟᱢᱚᱥ ᱠᱚᱢᱼᱟ ᱟᱨ ᱡᱳᱨ ᱫᱚᱦᱚ ᱫᱟᱲᱮᱭ ᱯᱟᱥᱱᱟᱣᱼᱟ ᱾"
289,ᱯᱷᱟᱢ ᱵᱚᱱᱫᱮᱡ ᱨᱮ ᱰᱨᱚᱱ ᱰᱮᱴᱟ ᱪᱮᱫ ᱮᱱᱮᱢᱮ ᱯᱟᱞᱟᱣᱼᱟ?,"ᱰᱨᱚᱱ ᱨᱮᱭᱟᱜ ᱛᱚᱛᱛᱟ ᱵᱤᱪᱷᱱᱟᱣᱟᱱᱟᱜ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱢᱮᱯ ᱵᱮᱱᱟᱣ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ, ᱪᱟᱥ ᱵᱟᱹᱲᱛᱤ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱠᱚ ᱵᱤᱪᱷᱱᱟᱣᱟ ᱟᱨ ᱩᱯᱟᱹᱭᱟᱱ ᱵᱮᱣᱦᱟᱨ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱟᱨᱦᱚᱸ ᱱᱟᱯᱟᱭ ᱜᱚᱴᱟ ᱦᱟᱛᱟᱣ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ ᱾"
290,ᱰᱨᱚᱱ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱭᱢᱟ ᱫᱤᱱ ᱞᱟᱹᱜᱤᱫ ᱠᱷᱚᱨᱪᱟ ᱟᱱᱟᱜ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱮᱱᱦᱚᱸ ᱮᱛᱚᱦᱚᱵ ᱠᱷᱚᱨᱪᱟ ᱡᱟᱹᱥᱛᱤ, ᱰᱨᱚᱱ ᱠᱚᱫᱚ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚ ᱠᱚᱢᱼᱟ, ᱤᱱᱯᱩᱴ ᱵᱮᱶᱦᱟᱨ ᱥᱚᱨᱮᱥᱼᱟ ᱟᱨ ᱡᱮᱞᱤ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱮ ᱵᱚᱱᱚᱫᱚᱞᱼᱟ, ᱡᱟᱦᱟᱸ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱟᱹᱰᱤ ᱫᱤᱱ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱣᱰᱤ ᱟᱹᱨᱤ ᱜᱚᱱᱚᱝ ᱧᱟᱢᱚᱜᱼᱟ ᱾"
291,ᱠᱤᱢᱟᱱ ᱚᱡᱮ ᱠᱚ ᱯᱮᱥᱴᱟᱭᱰᱤᱥ ᱥᱯᱨᱟᱭ ᱨᱮ ᱰᱨᱚᱱ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮᱭ ᱮᱥᱮᱨᱼᱟ?,"ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮᱹᱭᱟᱜ ᱟ ᱰᱨᱳᱯᱞᱮᱴ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ, ᱦᱚᱭ ᱨᱮᱭᱟᱜ ᱜᱟᱹᱨᱰᱩ, ᱳᱲᱟᱹᱣ ᱨᱮᱭᱟᱜ ᱜᱟᱹᱨᱰᱩ, ᱩᱥᱩᱞ, ᱞᱚᱞᱟᱝ ᱟᱨ ᱟᱨᱩᱛᱤ ᱪᱮᱛᱟᱱ ᱨᱮ ᱴᱮᱦᱟᱴᱚᱜᱼᱟ ᱾"
292,ᱰᱨᱚᱱ ᱮᱥᱯᱨᱟᱭ ᱨᱮ ᱰᱨᱚᱯᱚᱞᱤᱴ ᱜᱩᱱᱥᱴᱤ ᱪᱮᱫ?,"ᱰᱨᱚᱯᱞᱤᱴ ᱜᱩᱱᱥᱴᱤ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱡᱚᱛᱚ ᱤᱭᱩᱱᱤᱴ ᱴᱚᱴᱷᱟ ᱨᱮ ᱰᱨᱚᱯᱞᱤᱴ ᱨᱮᱭᱟᱜ ᱞᱮᱠᱷᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱩᱫᱩᱜ ᱥᱚᱫᱚᱨᱼᱟ ᱡᱮ ᱥᱯᱨᱮᱹ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟ ᱠᱟᱹᱢᱤ ᱞᱮᱠᱟᱛᱮ ᱛᱚᱛᱚᱴᱚᱠ ᱠᱚ ᱯᱮᱨᱮᱪ ᱟᱠᱟᱫᱟ ᱾"
293,ᱰᱨᱚᱱ ᱥᱯᱨᱟᱭ ᱠᱚᱨᱟᱣ ᱨᱮ ᱚᱛ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱪᱮᱫ ᱮ ᱩᱫᱩᱜᱟ?,"ᱪᱮᱛᱟᱱ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱡᱚᱛᱚ ᱤᱭᱩᱱᱤᱴ ᱴᱚᱴᱷᱟ ᱨᱮ ᱰᱨᱳᱯᱞᱮᱴᱥ ᱫᱟᱨᱟᱭ ᱛᱮ ᱯᱮᱨᱮᱪ ᱟᱠᱟᱱ ᱴᱚᱴᱷᱟ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱮᱢ, ᱡᱟᱦᱟᱸ ᱨᱮ ᱩᱫᱩᱜ ᱥᱚᱫᱚᱨ ᱟᱠᱟᱱᱟ ᱡᱮ ᱠᱤᱢᱟᱱ ᱞᱮᱠᱟᱛᱮ ᱠᱤᱢᱟᱱ "
294,ᱥᱯᱨᱟᱭ ᱠᱚᱨᱟᱣ ᱨᱮ ᱠᱳᱭᱮᱯᱷᱤᱥᱤᱱᱴ ᱚᱯᱷ ᱳᱣᱟᱨᱟᱭᱮᱥᱚᱱ (ᱥᱤᱹᱵᱷᱤ) ᱨᱮᱱᱟᱜ ᱜᱚᱱᱚᱝ ᱪᱮᱫ?,ᱵᱷᱮᱜᱟᱨ ᱨᱮᱭᱟᱜ ᱠᱳᱭᱮᱯᱷᱤᱥᱤᱱᱴ ᱰᱨᱚᱯᱞᱮᱴ ᱰᱤᱥᱴᱨᱤᱵᱷᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱞᱮᱠᱟ ᱩᱫᱩᱜ ᱥᱚᱫᱚᱨᱼᱟ; ᱞᱟᱛᱟᱨ ᱥᱤᱵᱷᱤ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱟᱨᱦᱚᱸ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱟᱨ ᱠᱟᱹᱢᱤᱣᱟᱱ ᱥᱯᱨᱮᱭᱤᱝ ᱾
295,ᱰᱨᱚᱯᱞᱮᱴ ᱰᱨᱤᱯᱷᱴ ᱫᱚ ᱪᱮᱫ ᱟᱨ ᱱᱚᱶᱟ ᱫᱚ ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱢᱤᱫᱴᱟᱝ ᱟᱱᱟᱴ ᱠᱟᱱᱟ?,"ᱰᱨᱚᱯᱞᱮᱴ ᱰᱨᱤᱯᱷᱴ ᱦᱳᱭᱳᱜᱼᱟ ᱡᱚᱠᱷᱚᱱ ᱮᱥᱯᱨᱮᱹᱰ ᱠᱤᱢᱤᱥᱴᱟᱭᱰᱤᱥ ᱡᱚᱥ ᱴᱚᱴᱷᱟ ᱨᱮ ᱥᱮᱴᱮᱨ ᱵᱟᱝ ᱦᱳᱭᱳᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱚᱵᱷᱟᱵᱽ ᱟᱨ ᱦᱚᱭᱦᱩᱫᱥᱩᱢᱟᱹᱧ ᱾"
296,ᱠᱟᱹᱢᱤᱭᱟᱱ ᱰᱨᱚᱱ ᱮᱥᱯᱨᱮᱭᱤᱝ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥ ᱴᱷᱟᱶ ᱠᱚ ᱪᱮᱫ?,"ᱠᱟᱹᱢᱤᱭᱟᱱ ᱥᱯᱨᱮᱭ ᱠᱚᱨᱟᱣ ᱦᱳᱭᱳᱜᱼᱟ 1.5-2 ᱢᱤᱴᱟᱨ ᱨᱮᱱᱟᱜ ᱩᱥᱩᱞ, 5 ᱢᱤᱴᱟᱨ/s ᱨᱮᱭᱟᱜ ᱜᱚᱛᱤ ᱟᱨ ᱦᱚᱭ ᱨᱮᱭᱟᱜ ᱜᱚᱛᱤ 5 ᱠᱤᱞᱳᱢᱤᱴᱟᱨ/ᱴᱟᱲᱟᱝ ᱞᱟᱛᱟᱨ ᱨᱮ ᱾"
297,ᱪᱟᱥ ᱨᱮ ᱳᱭᱮᱹᱞ ᱥᱟᱨᱵᱷᱮᱞᱮᱱᱥ ᱫᱚ ᱪᱮᱫ?,ᱯᱷᱚᱞᱮ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱞᱟᱹᱞᱤᱥ ᱟᱨ ᱨᱳᱜᱽ ᱞᱮᱠᱟᱱ ᱥᱟᱛᱟᱢ ᱠᱚ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱹᱢᱮᱨᱟ ᱟᱨ ᱥᱮᱱᱥᱳᱨ ᱥᱟᱶᱛᱮ ᱰᱨᱚᱱ ᱵᱮᱣᱦᱟᱨ ᱦᱚᱭᱩᱜ ᱟ ᱾
298,ᱰᱨᱚᱱ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱱᱟᱯᱟᱭ ᱪᱟᱥ ᱨᱮ ᱜᱚᱲᱚ ᱠᱚ ᱮᱢᱼᱟ?,"ᱰᱨᱚᱱ ᱠᱚᱫᱚ ᱱᱟᱦᱟᱜ ᱚᱠᱛᱚ ᱨᱮᱭᱟᱜ ᱛᱚᱛᱷᱚ ᱪᱮᱛᱟᱱ ᱴᱮᱦᱟᱴ ᱠᱟᱛᱮ ᱡᱮᱹᱥᱩᱢᱟᱹᱫᱤ ᱟᱨ ᱥᱟᱨ ᱞᱮᱠᱟᱱ ᱚᱱᱩᱢᱟᱹᱱ ᱨᱮᱭᱟᱜ ᱥᱚᱨᱟᱥᱚᱨᱤ ᱵᱮᱣᱦᱟᱨ, ᱚᱵᱷᱟᱵᱽ ᱠᱚᱢ ᱟᱨ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮ ᱵᱟᱹᱲᱛᱤ ᱞᱟᱹᱜᱤᱫ ᱮ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
299,ᱰᱨᱚᱱ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱜᱷᱟᱹᱞ ᱥᱟᱢᱵᱲᱟᱣ ᱨᱮᱭᱟᱜ ᱱᱟᱯᱟᱭᱼᱟ?,"ᱰᱨᱚᱱ ᱟᱹᱰᱤ ᱢᱟᱲᱟᱝ ᱥᱮᱱᱥᱳᱨ ᱠᱚ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮ ᱢᱟᱲᱟᱝ ᱠᱷᱚᱱ ᱜᱮ ᱠᱤᱭᱟᱹ ᱠᱚ ᱪᱤᱱᱦᱟᱹ ᱞᱮᱫᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱜᱚᱴᱟᱵᱩᱴᱟᱹ ᱥᱟᱢᱲᱟᱣ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱠᱚ ᱮᱢ ᱞᱮᱫᱟ ᱟᱨ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱚᱢ ᱞᱮᱫᱟ ᱾"
300,ᱪᱟᱥ ᱨᱮ ᱰᱨᱚᱱ ꯇꯦꯛꯅꯣꯂꯣꯖꯤ ᱦᱟᱛᱟᱣ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱟᱱᱟᱴ ᱠᱚ ᱪᱮᱫ?,"ᱞᱟᱹᱞᱤᱥ ᱠᱚ ᱢᱩᱫ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱵᱮᱯᱟᱨᱤᱭᱟᱹ ᱞᱟᱹᱞᱤᱥ, ᱥᱚᱨᱮᱥᱟᱱ ᱫᱟᱲᱮ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ, ᱛᱚᱛᱛ ᱨᱮᱭᱟᱜ ᱵᱤᱪᱷᱱᱟᱶ ᱨᱮ ᱟᱱᱟᱴ ᱟᱨ ᱥᱟᱢᱵᱲᱟᱣ ᱵᱚᱱᱫᱮᱡ ᱾"
301,ᱰᱨᱚᱱ ᱵᱮᱶᱦᱟᱨ ᱨᱮ ᱰᱮᱴᱟ ᱤᱱᱴᱤᱜᱨᱟᱥᱚᱱ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱟᱱᱟᱴ ᱠᱟᱱᱟ?,"ᱱᱟᱦᱟᱜ ᱪᱟᱥ ᱵᱚᱱᱫᱮᱡ ᱥᱟᱶ ᱰᱨᱚᱱ ᱨᱮᱭᱟᱜ ᱛᱚᱛᱩᱛᱚ ᱥᱮᱞᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱟᱹᱰᱤ ᱜᱟᱱ ᱛᱚᱛᱩᱛᱚ ᱵᱤᱪᱷᱱᱟᱶ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱩᱯᱟᱹᱭ ᱟᱨ ᱩᱯᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱟᱹᱰᱤ ᱜᱟᱱ ᱪᱟᱥᱤᱭᱟᱹ ᱴᱷᱮᱱ ᱵᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
302,ᱪᱟᱥ ᱨᱮ ᱰᱨᱚᱱ ᱦᱟᱛᱟᱣ ᱨᱮ ᱪᱮᱫ ᱪᱮᱫ ᱥᱟᱢᱵᱲᱟᱣ ᱨᱮᱭᱟᱜ ᱥᱟᱛᱟᱢ ᱠᱚ ᱮᱥᱮᱨᱼᱟ?,"ᱚᱣᱟᱨᱥᱯᱮᱥ, ᱜᱚᱭᱟᱨᱚᱱ, ᱟᱨ ᱥᱟᱨᱴᱤᱯᱷᱤᱠᱮᱴ ᱥᱟᱶᱛᱮ ᱡᱳᱜᱟᱡᱳᱜ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱤ ᱠᱚᱫᱚ ᱰᱨᱚᱱ ᱨᱮᱭᱟᱜ ᱵᱮᱶᱦᱟᱨ ᱮ ᱵᱚᱱᱚᱫᱚᱞ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱟᱨ ᱚᱱᱟ ᱠᱚ ᱦᱟᱛᱟᱣ ᱨᱮᱭᱟᱜ ᱚᱠᱛᱚ ᱠᱚᱢ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
303,ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱰᱨᱚᱱ ᱛᱮᱠᱱᱤᱠᱚᱞ ᱨᱮ ᱛᱟᱭᱚᱢ ᱫᱟᱨᱟᱢ ᱨᱮ ᱪᱮᱫ ᱪᱮᱫ ᱩᱯᱟᱹᱭ ᱧᱟᱢ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱢᱮᱱᱟᱜᱼᱟ?,"ᱥᱮᱱᱥᱳᱨ, ᱟᱨᱴᱤᱯᱷᱤᱥᱮᱞ ᱤᱱᱴᱤᱞᱤᱜᱮᱱᱥ ᱟᱨ ᱚᱥᱛᱩᱛᱚᱱᱚᱥ ᱱᱟᱵᱷᱤᱜᱮᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱩᱛᱱᱟᱹᱣ ᱰᱨᱚᱱ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮ ᱟᱨ ᱵᱮᱣᱦᱟᱨ ᱫᱟᱲᱮᱭ ᱵᱟᱹᱲᱛᱤᱼᱟ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾"
